日期,觀測時間(hour),測站氣壓(hPa),海平面氣壓(hPa),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),降水時數(h),全天空日射量(MJ/㎡),紫外線指數
2024-03-03,8,1013.0,1016.6,15.7,14.7,94,1.5,170,2.7,180,0.0,0.0,0.6,0
2024-03-03,9,1012.6,1016.2,18.1,15.0,82,0.6,V,2.4,260,0.0,0.0,1.33,2
2024-03-03,10,1012.5,1016.1,20.7,15.5,72,1.0,350,4.3,300,0.0,0.0,2.06,4
2024-03-03,11,1012.3,1015.9,21.5,16.5,73,2.7,310,6.7,340,0.0,0.0,2.61,6
2024-03-03,12,1011.9,1015.5,20.4,16.2,77,3.1,320,8.2,310,0.0,0.0,2.24,6
2024-03-03,13,1010.5,1014.1,20.8,16.4,76,1.4,300,6.2,340,0.0,0.0,2.6,6
2024-03-03,14,1009.2,1012.7,22.3,17.0,72,1.1,300,3.5,310,0.0,0.0,2.0,5
2024-03-03,15,1008.1,1011.6,22.1,16.8,72,1.2,150,2.6,330,0.0,0.0,1.31,3
2024-03-03,16,1007.5,1011.0,22.9,16.9,69,1.8,50,3.6,40,0.0,0.0,1.23,2
2024-03-03,17,1007.7,1011.2,22.1,17.3,74,1.0,310,3.7,50,0.0,0.0,0.52,1
2024-03-03,18,1008.4,1012.0,19.9,17.1,84,2.6,90,6.1,60,0.0,0.0,0.12,0
2024-03-03,19,1008.9,1012.5,19.0,17.0,88,2.7,40,4.8,40,0.0,0.0,0.0,0
2024-03-03,20,1008.9,1012.5,18.9,16.9,88,1.1,120,3.6,40,0.0,0.0,0.0,0
2024-03-03,21,1009.4,1013.0,19.0,17.0,88,0.5,130,1.6,100,0.0,0.0,0.0,0
2024-03-03,22,1009.5,1013.1,19.0,17.2,89,1.4,120,1.8,120,0.0,0.0,0.0,0
2024-03-03,23,1009.4,1013.0,18.9,17.4,91,0.4,360,2.5,140,0.0,0.0,0.0,0
2024-03-03,24,1009.2,1012.8,18.7,17.4,92,0.7,180,1.8,110,0.0,0.0,0.0,0
2024-03-04,1,1008.6,1012.2,18.5,17.7,95,0.4,130,2.1,230,0.0,0.0,0.0,0
2024-03-04,2,1008.4,1012.0,18.5,17.7,95,0.9,180,1.9,230,0.0,0.0,0.0,0
2024-03-04,3,1008.0,1011.6,18.4,17.8,96,0.8,170,1.7,160,0.0,0.0,0.0,0
2024-03-04,4,1007.1,1010.7,18.1,17.6,97,0.5,V,1.7,110,0.0,0.0,0.0,0
2024-03-04,5,1006.7,1010.3,18.0,17.5,97,0.8,180,2.1,240,0.0,0.0,0.0,0
2024-03-04,6,1006.1,1009.7,17.6,17.3,98,1.2,90,2.5,100,0.0,0.0,0.0,0
2024-03-04,7,1006.6,1010.2,18.1,17.6,97,0.5,130,2.6,300,0.0,0.0,0.1,0
2024-03-04,8,1007.6,1011.2,20.0,17.8,87,0.8,140,1.5,180,0.0,0.0,0.63,1
2024-03-04,9,1007.4,1010.9,22.7,18.1,75,1.3,180,2.4,160,0.0,0.0,1.4,2
2024-03-04,10,1006.5,1010.0,24.8,18.5,68,0.6,120,2.8,130,0.0,0.0,2.1,4
2024-03-04,11,1005.5,1009.0,26.7,19.8,66,1.5,10,3.7,50,0.0,0.0,2.71,6
2024-03-04,12,1004.2,1007.7,27.1,18.7,60,1.3,340,4.2,350,0.0,0.0,2.65,7
2024-03-04,13,1003.1,1006.6,25.9,19.6,68,2.4,330,6.8,350,0.0,0.0,1.29,4
2024-03-04,14,1001.9,1005.4,27.2,20.1,65,2.2,40,5.8,350,0.0,0.0,1.69,5
2024-03-04,15,1001.1,1004.6,27.8,19.6,61,1.9,90,6.8,70,0.0,0.0,1.51,3
2024-03-04,16,1001.0,1004.4,29.7,17.6,48,4.2,280,9.9,280,0.0,0.0,1.56,2
2024-03-04,17,1001.8,1005.3,26.2,19.4,66,2.6,350,8.8,290,0.0,0.0,0.87,1
2024-03-04,18,1002.3,1005.8,24.7,19.8,74,1.5,90,5.8,80,0.0,0.0,0.14,0
2024-03-04,19,1002.4,1005.9,23.4,19.6,79,1.2,100,4.9,80,0.0,0.0,0.0,0
2024-03-04,20,1002.8,1006.3,23.5,19.9,80,1.2,130,2.7,80,0.0,0.0,0.0,0
2024-03-04,21,1003.5,1007.0,23.5,19.9,80,1.1,130,2.8,90,0.0,0.0,0.0,0
2024-03-04,22,1003.5,1007.0,23.2,20.2,83,1.1,140,2.5,90,0.0,0.0,0.0,0
2024-03-04,23,1003.0,1006.5,24.3,19.6,75,1.8,210,6.6,210,0.0,0.0,0.0,0
2024-03-04,24,1002.9,1006.4,27.2,18.2,58,2.9,230,8.5,220,0.0,0.0,0.0,0
2024-03-05,1,1003.3,1006.8,27.2,17.4,55,3.1,270,10.9,280,0.0,0.0,0.0,0
2024-03-05,2,1003.2,1006.7,26.9,17.7,57,2.7,260,10.2,260,0.0,0.0,0.0,0
2024-03-05,3,1002.9,1006.4,26.7,17.8,58,3.2,240,10.1,230,0.0,0.0,0.0,0
2024-03-05,4,1003.2,1006.7,24.7,18.2,67,1.1,250,6.6,210,0.0,0.0,0.0,0
2024-03-05,5,1005.0,1008.5,21.7,19.4,87,3.8,330,10.5,340,0.0,0.0,0.0,0
2024-03-05,6,1006.8,1010.4,21.0,18.0,83,1.7,350,7.4,330,0.0,0.0,0.0,0
2024-03-05,7,1008.4,1012.0,17.7,15.3,86,2.7,100,9.1,90,0.0,0.0,0.01,0
2024-03-05,8,1009.5,1013.1,17.3,14.8,85,3.7,100,9.2,40,T,0.1,0.06,0
2024-03-05,9,1010.3,1013.9,16.9,14.7,87,3.3,90,10.6,90,T,1.0,0.1,0
2024-03-05,10,1010.9,1014.5,16.3,14.5,89,3.8,90,9.6,90,T,1.0,0.13,0
2024-03-05,11,1011.4,1015.0,15.9,14.3,90,2.4,80,10.6,100,T,1.0,0.14,0
2024-03-05,12,1011.2,1014.8,15.5,13.9,90,3.0,90,9.2,80,T,1.0,0.27,1
2024-03-05,13,1010.4,1014.0,15.4,13.6,89,2.5,100,8.4,100,0.5,1.0,0.26,1
2024-03-05,14,1009.4,1013.0,15.8,13.1,84,3.5,110,9.3,80,T,0.9,0.56,2
2024-03-05,15,1009.8,1013.4,15.4,12.7,84,3.5,90,9.3,90,T,0.9,0.3,1
2024-03-05,16,1011.0,1014.6,15.1,13.1,88,2.2,100,8.5,90,T,0.8,0.09,0
2024-03-05,17,1011.9,1015.6,14.9,12.6,86,2.2,90,7.5,90,0.5,0.6,0.03,0
2024-03-05,18,1012.0,1015.7,14.7,12.9,89,2.1,90,6.9,90,T,1.0,0.01,0
2024-03-05,19,1012.8,1016.5,14.4,12.8,90,3.6,100,9.3,80,T,0.5,0.0,0
2024-03-05,20,1013.9,1017.6,14.3,13.4,94,2.4,90,8.2,110,1.0,0.9,0.0,0
2024-03-05,21,1014.5,1018.2,14.3,13.2,93,2.5,100,7.1,90,T,0.6,0.0,0
2024-03-05,22,1015.0,1018.7,14.4,13.1,92,2.6,90,8.3,80,0.5,0.5,0.0,0
2024-03-05,23,1014.8,1018.5,13.9,12.8,93,3.1,90,8.1,80,T,0.7,0.0,0
2024-03-05,24,1014.9,1018.6,13.8,12.9,94,2.8,100,6.2,70,0.5,0.6,0.0,0
2024-03-06,1,1015.2,1018.9,13.6,12.8,95,2.0,80,6.1,70,0.5,0.7,0.0,0
2024-03-06,2,1014.9,1018.6,13.7,12.9,95,1.5,100,6.2,80,T,0.4,0.0,0
2024-03-06,3,1014.2,1017.9,13.6,12.8,95,1.8,110,5.8,90,T,0.5,0.0,0
2024-03-06,4,1013.9,1017.6,13.6,12.2,91,2.7,100,6.9,80,T,0.4,0.0,0
2024-03-06,5,1014.6,1018.3,13.4,12.5,94,2.6,90,6.3,60,1.0,0.6,0.0,0
2024-03-06,6,1015.3,1019.0,13.1,12.6,97,2.4,110,5.6,90,6.5,1.0,0.0,0
2024-03-06,7,1015.7,1019.4,13.3,12.8,97,1.7,90,4.8,80,3.5,0.9,0.01,0
2024-03-06,8,1016.2,1019.9,13.8,13.2,96,2.4,90,5.1,110,T,0.5,0.06,0
2024-03-06,9,1016.5,1020.2,14.3,13.4,94,1.9,90,5.5,90,T,1.0,0.11,0
2024-03-06,10,1016.4,1020.1,14.4,13.0,91,2.4,80,6.0,80,T,0.8,0.15,0
2024-03-06,11,1016.2,1019.9,14.6,13.2,91,2.2,90,6.4,80,0.0,0.0,0.21,1
2024-03-06,12,1015.5,1019.2,14.4,13.0,91,2.8,90,7.7,70,T,0.7,0.29,1
2024-03-06,13,1014.9,1018.6,14.5,12.9,90,2.6,90,7.1,80,0.0,0.0,0.39,1
2024-03-06,14,1014.3,1018.0,14.7,12.7,88,2.4,100,8.4,70,0.0,0.0,0.3,1
2024-03-06,15,1013.8,1017.5,14.5,12.5,88,2.7,90,8.3,60,0.0,0.0,0.34,1
2024-03-06,16,1013.7,1017.4,14.4,12.6,89,3.3,90,7.7,90,0.0,0.0,0.26,1
2024-03-06,17,1014.0,1017.7,14.4,12.6,89,2.9,90,8.4,80,0.0,0.0,0.12,0
2024-03-06,18,1014.8,1018.5,14.3,12.3,88,2.7,90,8.7,90,0.0,0.0,0.03,0
2024-03-06,19,1015.2,1018.9,14.2,12.4,89,3.5,90,8.7,110,0.0,0.0,0.0,0
2024-03-06,20,1015.9,1019.6,14.0,12.0,88,3.1,90,8.3,80,0.0,0.0,0.0,0
2024-03-06,21,1016.3,1020.0,14.2,11.9,86,2.4,90,7.7,90,0.0,0.0,0.0,0
2024-03-06,22,1016.3,1020.0,14.2,11.9,86,2.3,100,7.5,110,T,0.2,0.0,0
2024-03-06,23,1016.7,1020.4,14.3,11.3,82,2.2,100,7.3,100,T,0.1,0.0,0
2024-03-06,24,1017.0,1020.7,14.2,11.2,82,1.6,80,5.6,100,T,0.3,0.0,0
2024-03-07,1,1016.8,1020.5,14.4,10.6,78,2.0,110,5.1,70,0.0,0.0,0.0,0
2024-03-07,2,1017.1,1020.8,14.4,9.2,71,2.0,90,5.8,90,0.0,0.0,0.0,0
2024-03-07,3,1017.1,1020.8,14.3,8.9,70,2.6,90,5.8,90,0.0,0.0,0.0,0
2024-03-07,4,1016.7,1020.4,14.2,8.8,70,2.3,90,6.6,90,0.0,0.0,0.0,0
2024-03-07,5,1017.3,1021.0,14.1,8.9,71,2.3,90,6.4,90,0.0,0.0,0.0,0
2024-03-07,6,1018.0,1021.7,14.1,8.9,71,2.3,100,6.9,90,0.0,0.0,0.0,0
2024-03-07,7,1018.8,1022.5,14.2,8.6,69,2.1,90,6.4,70,0.0,0.0,0.05,0
2024-03-07,8,1019.3,1023.0,14.9,9.5,70,1.5,110,5.1,90,0.0,0.0,0.44,1
2024-03-07,9,1019.6,1023.3,16.1,8.4,60,2.7,70,9.2,70,0.0,0.0,1.29,2
2024-03-07,10,1020.2,1023.9,16.4,6.3,51,3.6,100,9.7,90,0.0,0.0,1.51,3
2024-03-07,11,1020.0,1023.7,15.7,5.3,50,2.9,40,9.5,110,0.0,0.0,1.54,4
2024-03-07,12,1019.2,1022.9,16.1,3.5,43,2.2,70,8.6,50,0.0,0.0,1.37,4
2024-03-07,13,1018.7,1022.4,15.9,2.7,41,4.3,80,10.6,120,0.0,0.0,1.85,5
2024-03-07,14,1018.3,1021.9,16.5,1.0,35,3.2,80,10.2,80,0.0,0.0,2.35,6
2024-03-07,15,1018.1,1021.7,16.3,1.2,36,4.4,40,11.8,70,0.0,0.0,2.37,5
2024-03-07,16,1018.2,1021.9,15.3,-0.4,34,3.6,80,12.3,110,0.0,0.0,1.68,2
2024-03-07,17,1018.6,1022.3,14.7,-0.2,36,2.3,80,10.2,80,0.0,0.0,0.88,1
2024-03-07,18,1019.2,1022.9,13.9,1.2,42,3.1,80,9.6,80,0.0,0.0,0.19,0
2024-03-07,19,1019.5,1023.2,13.5,0.9,42,2.0,90,8.4,90,0.0,0.0,0.0,0
2024-03-07,20,1020.2,1023.9,13.1,1.5,45,2.0,140,6.0,120,0.0,0.0,0.0,0
2024-03-07,21,1020.7,1024.4,12.9,1.9,47,3.0,130,5.9,140,0.0,0.0,0.0,0
2024-03-07,22,1020.6,1024.3,12.8,2.4,49,3.7,130,7.6,140,0.0,0.0,0.0,0
2024-03-07,23,1020.3,1024.0,12.7,2.0,48,3.6,130,6.5,130,0.0,0.0,0.0,0
2024-03-07,24,1020.0,1023.7,12.5,1.8,48,3.8,130,7.2,120,0.0,0.0,0.0,0
2024-03-08,1,1020.1,1023.8,12.6,2.2,49,2.7,130,6.5,150,0.0,0.0,0.0,0
2024-03-08,2,1020.3,1024.0,12.6,2.8,51,2.1,120,5.6,130,0.0,0.0,0.0,0
2024-03-08,3,1019.7,1023.4,12.7,3.9,55,3.0,130,5.7,110,0.0,0.0,0.0,0
2024-03-08,4,1017.4,1021.1,12.7,4.7,58,4.7,130,8.3,120,0.0,0.0,0.0,0
2024-03-08,5,1018.5,1022.2,13.0,4.9,58,2.8,100,10.1,120,0.0,0.0,0.0,0
2024-03-08,6,1019.4,1023.1,13.2,5.4,59,1.9,120,6.6,90,0.0,0.0,0.0,0
2024-03-08,7,1020.8,1024.5,13.5,5.7,59,1.2,110,5.3,90,0.0,0.0,0.08,0
2024-03-08,8,1021.4,1025.1,14.1,5.7,57,2.2,90,6.7,80,0.0,0.0,0.2,0
2024-03-08,9,1021.1,1024.8,14.6,5.9,56,2.6,100,9.9,40,T,0.3,0.41,1
2024-03-08,10,1021.1,1024.8,14.9,6.2,56,3.3,90,11.4,90,0.0,0.0,0.56,1
2024-03-08,11,1020.5,1024.2,14.8,6.4,57,3.2,100,10.3,60,T,0.9,0.31,1
2024-03-08,12,1020.4,1024.1,14.9,7.0,59,2.9,100,9.0,100,T,0.9,0.34,1
2024-03-08,13,1019.6,1023.3,15.6,6.9,56,3.6,90,9.3,100,T,0.3,0.8,3
2024-03-08,14,1019.5,1023.2,15.4,7.2,58,2.4,90,10.2,90,0.0,0.0,0.64,2
2024-03-08,15,1019.3,1023.0,15.4,7.0,57,4.3,90,9.6,80,T,1.0,0.89,2
2024-03-08,16,1018.8,1022.5,15.3,7.1,58,3.3,90,10.2,60,T,0.2,0.62,1
2024-03-08,17,1018.8,1022.5,14.8,6.9,59,3.8,90,12.1,80,0.0,0.0,0.36,0
2024-03-08,18,1019.0,1022.7,14.5,6.8,60,3.6,90,11.2,80,0.0,0.0,0.13,0
2024-03-08,19,1019.0,1022.7,14.3,6.9,61,3.5,100,9.3,70,0.0,0.0,0.0,0
2024-03-08,20,1019.4,1023.1,14.2,6.8,61,3.4,100,9.5,60,0.0,0.0,0.0,0
2024-03-08,21,1019.8,1023.5,14.3,6.9,61,3.5,80,8.9,80,0.0,0.0,0.0,0
2024-03-08,22,1020.1,1023.8,14.4,7.0,61,2.9,90,9.2,70,0.0,0.0,0.0,0
2024-03-08,23,1020.1,1023.8,14.4,7.0,61,3.4,90,8.9,100,0.0,0.0,0.0,0
2024-03-08,24,1020.1,1023.8,14.5,7.1,61,3.6,90,8.1,80,0.0,0.0,0.0,0
2024-03-09,1,1019.8,1023.5,14.6,7.7,63,3.2,100,8.3,70,0.0,0.0,0.0,0
2024-03-09,2,1019.4,1023.1,14.9,8.2,64,3.1,90,8.3,50,0.0,0.0,0.0,0
2024-03-09,3,1019.0,1022.7,15.1,8.6,65,3.4,90,8.0,70,0.0,0.0,0.0,0
2024-03-09,4,1018.9,1022.6,15.4,9.1,66,2.5,100,8.7,90,0.0,0.0,0.0,0
2024-03-09,5,1018.5,1022.2,15.4,9.8,69,3.8,90,9.1,60,0.0,0.0,0.0,0
2024-03-09,6,1019.2,1022.9,15.6,10.2,70,3.3,90,9.0,90,T,0.2,0.0,0
2024-03-09,7,1019.6,1023.3,16.1,10.6,70,4.5,90,10.8,80,0.0,0.0,0.03,0
2024-03-09,8,1020.7,1024.4,16.3,11.0,71,2.9,90,10.0,90,0.0,0.0,0.14,0
2024-03-09,9,1021.7,1025.4,16.6,11.6,72,3.4,90,10.7,80,T,0.2,0.25,0
2024-03-09,10,1022.0,1025.7,17.3,12.4,73,3.2,90,10.9,80,T,0.1,0.67,2
2024-03-09,11,1021.5,1025.1,18.1,12.6,70,3.5,80,10.8,90,0.0,0.0,1.27,3
2024-03-09,12,1020.6,1024.2,18.7,12.9,69,4.4,90,10.8,80,0.0,0.0,1.04,3
2024-03-09,13,1020.2,1023.8,18.7,13.1,70,3.5,90,9.9,80,0.0,0.0,1.08,3
2024-03-09,14,1018.7,1022.3,18.9,13.8,72,3.6,90,10.1,80,0.0,0.0,0.96,3
2024-03-09,15,1018.4,1022.0,19.0,13.6,71,3.6,90,10.4,100,0.0,0.0,0.82,2
2024-03-09,16,1018.2,1021.8,18.8,13.4,71,4.1,90,9.4,70,0.0,0.0,0.41,1
2024-03-09,17,1018.2,1021.8,18.6,13.9,74,3.4,90,9.4,80,0.0,0.0,0.3,0
2024-03-09,18,1018.1,1021.7,18.4,14.1,76,3.7,90,10.0,70,0.0,0.0,0.09,0
2024-03-09,19,1018.6,1022.2,18.1,14.4,79,2.9,90,10.6,80,0.0,0.0,0.0,0
2024-03-09,20,1018.5,1022.1,18.1,13.8,76,3.1,90,7.8,80,0.0,0.0,0.0,0
2024-03-09,21,1018.3,1021.9,18.2,13.5,74,2.8,90,8.3,80,0.0,0.0,0.0,0
2024-03-09,22,1018.8,1022.4,18.6,13.3,71,2.3,90,8.0,100,0.0,0.0,0.0,0
2024-03-09,23,1018.9,1022.5,18.6,13.5,72,1.5,80,5.7,80,0.0,0.0,0.0,0
2024-03-09,24,1018.4,1022.0,18.0,13.9,77,1.0,80,2.9,120,0.0,0.0,0.0,0
2024-03-10,1,1017.9,1021.5,17.4,14.3,82,0.8,150,2.7,70,T,0.1,0.0,0
2024-03-10,2,1016.7,1020.3,17.3,14.4,83,0.7,200,2.1,180,0.0,0.0,0.0,0
2024-03-10,3,1015.9,1019.5,16.7,15.2,91,0.7,250,1.4,230,T,0.2,0.0,0
2024-03-10,4,1015.5,1019.1,16.6,15.0,90,0.7,220,2.9,290,T,0.3,0.0,0
2024-03-10,5,1015.3,1018.9,16.6,15.0,90,0.6,190,2.2,250,0.0,0.0,0.0,0
2024-03-10,6,1015.3,1018.9,16.7,14.9,89,0.9,220,1.7,240,0.0,0.0,0.0,0
2024-03-10,7,1015.1,1018.7,16.8,14.6,87,0.7,170,1.4,220,0.0,0.0,0.04,0
2024-03-10,8,1015.6,1019.2,17.6,14.9,84,1.4,240,2.9,270,0.0,0.0,0.3,0
2024-03-10,9,1015.6,1019.2,19.3,15.6,79,0.9,180,2.8,200,0.0,0.0,1.21,2
2024-03-10,10,1015.8,1019.4,19.6,15.7,78,0.9,250,3.0,210,0.0,0.0,0.85,2
2024-03-10,11,1015.6,1019.2,19.4,16.4,83,0.8,240,3.3,330,T,1.0,0.45,2
2024-03-10,12,1015.0,1018.6,18.9,17.1,89,1.7,320,4.1,310,T,1.0,0.21,1
2024-03-10,13,1014.8,1018.4,18.0,16.9,93,2.5,310,5.8,320,T,1.0,0.12,0
2024-03-10,14,1014.4,1018.0,17.2,16.7,97,2.5,310,5.8,340,0.5,1.0,0.31,1
2024-03-10,15,1013.5,1017.1,17.0,16.5,97,1.1,330,4.7,300,1.0,1.0,0.38,1
2024-03-10,16,1012.9,1016.5,17.4,16.8,96,0.7,340,3.1,320,T,1.0,0.36,1
2024-03-10,17,1013.2,1016.8,17.0,16.5,97,0.4,10,3.0,330,0.5,0.5,0.09,0
2024-03-10,18,1013.1,1016.7,16.7,16.4,98,1.0,210,2.0,290,3.0,1.0,0.01,0
2024-03-10,19,1013.6,1017.2,16.7,16.4,98,1.2,240,3.0,260,5.0,1.0,0.0,0
2024-03-10,20,1014.1,1017.7,16.7,16.4,98,1.1,220,2.7,250,3.5,1.0,0.0,0
2024-03-10,21,1014.6,1018.2,16.7,16.4,98,1.3,270,3.3,280,3.5,1.0,0.0,0
2024-03-10,22,1014.7,1018.3,15.9,15.6,98,2.3,320,6.7,310,2.5,1.0,0.0,0
2024-03-10,23,1015.0,1018.6,15.7,15.2,97,0.7,270,5.1,330,2.0,0.8,0.0,0
2024-03-10,24,1014.9,1018.5,15.6,15.3,98,0.7,300,3.2,320,1.5,1.0,0.0,0
2024-03-11,1,1015.0,1018.6,15.5,15.2,98,1.9,300,4.9,320,1.5,0.8,0.0,0
2024-03-11,2,1014.6,1018.3,15.1,14.8,98,1.1,330,4.6,300,0.5,0.6,0.0,0
2024-03-11,3,1014.9,1018.5,15.6,14.8,95,1.5,300,3.3,310,0.0,0.0,0.0,0
2024-03-11,4,1015.2,1018.9,15.1,14.6,97,1.4,250,3.8,300,0.0,0.0,0.0,0
2024-03-11,5,1015.9,1019.5,15.7,13.9,89,1.4,280,3.5,260,0.0,0.0,0.0,0
2024-03-11,6,1016.4,1020.1,14.9,14.4,97,1.4,220,4.2,280,0.0,0.0,0.0,0
2024-03-11,7,1017.2,1020.9,14.9,14.3,96,1.1,260,3.2,270,0.0,0.0,0.15,0
2024-03-11,8,1017.9,1021.5,16.5,13.4,82,1.2,270,3.1,300,0.0,0.0,0.85,1
2024-03-11,9,1018.0,1021.6,17.9,12.8,72,0.8,330,3.4,280,0.0,0.0,1.71,2
2024-03-11,10,1018.1,1021.7,19.6,11.4,59,0.8,50,2.6,160,0.0,0.0,2.48,5
2024-03-11,11,1017.2,1020.8,20.6,10.7,53,0.6,100,3.5,120,0.0,0.0,3.0,7
